Simulation_name,Snapshot,Step,Time_(s),sps,tps,CO_adsorption_tof_data,CO_desorption_tof_data,CO_adsorption_tof_integ,CO_desorption_tof_integ,CO_simple_cubic_hollow,empty_simple_cubic_hollow,
MyFirstSnapshots,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
MyFirstSnapshots,1,12,2.5496420407046655e-09,12,2.5496420407046655e-09,11766357.59885284,0.0,8714080.745965887,630157.6918550816,0.03,0.97,
MyFirstSnapshots,2,24,4.698166645207876e-09,12,2.1485246045032103e-09,11635891.88022382,2327178.376044764,8473878.048794236,1985356.2886983105,0.05,0.95,
MyFirstSnapshots,3,36,7.204573384183311e-09,12,2.5064067389754353e-09,7979550.840250121,3989775.4201250607,8359257.398340367,2632034.0591537016,0.06,0.94,
MyFirstSnapshots,4,48,9.647669543380005e-09,12,2.443096159196694e-09,8186333.52793454,4093166.76396727,8248024.817443001,3259596.6940880073,0.07,0.93,
MyFirstSnapshots,5,60,1.1625213409321419e-08,12,1.9775438659414138e-09,12641944.601364734,2528388.920272947,8087602.8115468025,4164680.941072706,0.09,0.91,
MyFirstSnapshots,6,72,1.269192343911907e-08,12,1.0667100297976504e-09,16405583.06489315,11718273.617780821,8014316.5133746695,4578154.601527642,0.095,0.905,
MyFirstSnapshots,7,84,1.437982121977337e-08,12,1.6878977806543007e-09,8886794.077177685,8886794.077177685,7972952.193879401,4811527.783425219,0.095,0.905,
MyFirstSnapshots,8,96,1.703141745327025e-08,12,2.651596233496879e-09,10371111.428127758,942828.311647978,7884802.589141862,5308858.671293092,0.12,0.88,
